id	dropperid	itemid	minimum_quantity	maximum_quantity	questid	chance
3	100100	0	4	6	0	400000
5	100100	1040002	1	1	0	700
7	100100	1302000	1	1	0	700
8	100100	2000000	1	1	0	20000
20	100101	0	8	12	0	400000
21	100101	1040006	1	1	0	700
27	100101	2000000	1	1	0	20000
40	100120	0	1	5	0	400000
46	100121	0	10	14	0	400000
47	100121	2000000	1	1	0	40000
51	100122	1452002	1	1	0	700
52	100122	2000000	1	1	0	40000
56	100123	2000000	1	1	0	40000
60	100124	2000000	1	1	0	40000
68	100130	1040010	1	1	0	800
83	100131	1072005	1	1	0	800
84	100131	2000000	1	1	0	20000
96	100132	1040015	1	1	0	800
97	100132	1041014	1	1	0	800
98	100132	1060008	1	1	0	800
99	100132	1061014	1	1	0	800
102	100132	1442000	1	1	0	700
103	100132	2000000	1	1	0	20000
114	100133	1040038	1	1	0	800
115	100133	1041064	1	1	0	800
116	100133	1060028	1	1	0	800
117	100133	1061023	1	1	0	800
118	100133	1072009	1	1	0	800
120	100133	1442006	1	1	0	700
121	100133	2000000	1	1	0	20000
133	100134	1040009	1	1	0	800
135	100134	1060009	1	1	0	800
136	100134	1072050	1	1	0	800
137	100134	2000000	1	1	0	20000
145	120100	0	8	12	0	400000
148	120100	1061009	1	1	0	800
151	120100	1332006	1	1	0	500
152	120100	2000000	1	1	0	20000
161	130100	0	12	18	0	400000
163	130100	1061014	1	1	0	800
164	130100	1072007	1	1	0	800
169	130100	1452003	1	1	0	500
172	130100	2000000	1	1	0	20000
187	130101	0	12	18	0	400000
193	130101	1072005	1	1	0	700
194	130101	1072060	1	1	0	800
196	130101	1302000	1	1	0	700
197	130101	1322007	1	1	0	700
199	130101	1402001	1	1	0	700
200	130101	2000000	1	1	0	20000
212	210100	0	12	18	0	400000
214	210100	1060002	1	1	0	700
218	210100	1322007	1	1	0	700
219	210100	1412001	1	1	0	700
220	210100	1412002	1	1	0	700
222	210100	1432000	1	1	0	700
223	210100	1432001	1	1	0	500
226	210100	2000000	1	1	0	20000
244	1110100	0	28	42	0	400000
252	1110100	1041063	1	1	0	800
256	1110100	1061059	1	1	0	800
259	1110100	1302007	1	1	0	700
262	1110100	1322000	1	1	0	700
264	1110100	1412002	1	1	0	700
268	1110100	1452003	1	1	0	500
270	1110100	1462002	1	1	0	500
272	1110100	2000000	1	1	0	20000
273	1110100	2000001	1	1	0	20000
274	1110100	2000003	1	1	0	20000
297	1110101	0	20	30	0	400000
302	1110101	1041061	1	1	0	800
304	1110101	1061057	1	1	0	800
306	1110101	1302006	1	1	0	700
309	1110101	1442000	1	1	0	700
311	1110101	2000000	1	1	0	20000
312	1110101	2000001	1	1	0	20000
313	1110101	2000003	1	1	0	20000
337	1110130	1041063	1	1	0	800
340	1110130	1061059	1	1	0	800
343	1110130	1302007	1	1	0	700
344	1110130	1322000	1	1	0	700
345	1110130	1412002	1	1	0	700
348	1110130	1452003	1	1	0	500
349	1110130	1462002	1	1	0	500
351	1110130	2000000	1	1	0	20000
352	1110130	2000001	1	1	0	20000
353	1110130	2000003	1	1	0	20000
24176	3300000	0	81	119	0	400000
367	1120100	0	24	36	0	400000
369	1120100	1040037	1	1	0	800
371	1120100	1060027	1	1	0	800
373	1120100	1092000	1	1	0	700
376	1120100	1422000	1	1	0	700
379	1120100	2000000	1	1	0	20000
380	1120100	2000003	1	1	0	20000
394	1130100	0	32	48	0	400000
408	1130100	1402001	1	1	0	700
412	1130100	2000000	1	1	0	20000
413	1130100	2000003	1	1	0	20000
424	1140100	0	34	47	0	400000
429	1140100	1041062	1	1	0	800
433	1140100	1061058	1	1	0	800
434	1140100	1072046	1	1	0	800
438	1140100	1412002	1	1	0	700
441	1140100	2000000	1	1	0	20000
442	1140100	2000003	1	1	0	20000
463	1140130	1041062	1	1	0	800
467	1140130	1061058	1	1	0	800
468	1140130	1072046	1	1	0	800
472	1140130	1412002	1	1	0	700
474	1140130	2000000	1	1	0	20000
475	1140130	2000003	1	1	0	20000
490	1210100	0	14	21	0	400000
495	1210100	1041014	1	1	0	800
497	1210100	1062002	1	1	0	800
499	1210100	1422000	1	1	0	700
501	1210100	2000000	1	1	0	20000
518	1210101	0	20	30	0	400000
520	1210101	1040011	1	1	0	800
531	1210101	2000000	1	1	0	20000
549	1210102	0	16	24	0	400000
553	1210102	1072015	1	1	0	800
557	1210102	1432000	1	1	0	500
558	1210102	2000000	1	1	0	20000
574	1210103	0	24	36	0	400000
577	1210103	1041062	1	1	0	800
579	1210103	1061058	1	1	0	800
585	1210103	1412002	1	1	0	700
587	1210103	1432000	1	1	0	500
591	1210103	2000000	1	1	0	20000
592	1210103	2000003	1	1	0	20000
825	2110200	0	36	54	0	400000
831	2110200	1041008	1	1	0	800
834	2110200	1060002	1	1	0	800
837	2110200	1061006	1	1	0	800
840	2110200	1092000	1	1	0	700
843	2110200	1412002	1	1	0	700
849	2110200	2000001	1	1	0	20000
850	2110200	2000003	1	1	0	20000
914	2130100	0	40	60	0	400000
917	2130100	1041028	1	1	0	800
920	2130100	1061006	1	1	0	800
921	2130100	1061026	1	1	0	800
927	2130100	2000001	1	1	0	20000
928	2130100	2000003	1	1	0	20000
947	2130103	0	33	49	0	400000
949	2130103	1041021	1	1	0	800
952	2130103	1061018	1	1	0	800
955	2130103	1332008	1	1	0	500
958	2130103	2000001	1	1	0	20000
1030	2220100	0	36	54	0	400000
1036	2220100	1040012	1	1	0	800
1037	2220100	1041027	1	1	0	800
1039	2220100	1060010	1	1	0	800
1040	2220100	1061025	1	1	0	800
1041	2220100	1072011	1	1	0	800
1045	2220100	1332006	1	1	0	500
1047	2220100	1412002	1	1	0	700
1049	2220100	1432001	1	1	0	500
1051	2220100	2000001	1	1	0	20000
1052	2220100	2000002	1	1	0	20000
1053	2220100	2000003	1	1	0	20000
1067	2230100	0	48	72	0	400000
1071	2230100	1040021	1	1	0	800
1072	2230100	1040022	1	1	0	700
1073	2230100	1041007	1	1	0	800
1074	2230100	1041032	1	1	0	800
1081	2230100	1062006	1	1	0	800
1088	2230100	2000001	1	1	0	20000
1089	2230100	2000002	1	1	0	20000
1090	2230100	2000003	1	1	0	20000
1104	2230101	0	44	66	0	400000
1110	2230101	1040009	1	1	0	800
1111	2230101	1040021	1	1	0	800
1112	2230101	1040026	1	1	0	800
1117	2230101	1060018	1	1	0	800
1123	2230101	1412002	1	1	0	700
1125	2230101	1452001	1	1	0	500
1129	2230101	2000001	1	1	0	20000
1130	2230101	2000002	1	1	0	20000
1131	2230101	2000003	1	1	0	20000
1145	2230102	0	44	66	0	400000
1153	2230102	1041013	1	1	0	800
1154	2230102	1041028	1	1	0	700
1159	2230102	1061006	1	1	0	700
1160	2230102	1061024	1	1	0	800
1180	2230102	2000001	1	1	0	20000
1181	2230102	2000003	1	1	0	20000
1411	2230110	1332010	1	1	0	500
1413	2230110	2000001	1	1	0	20000
1414	2230110	2000003	1	1	0	20000
1433	2230111	1041023	1	1	0	800
1435	2230111	1061019	1	1	0	800
1439	2230111	1302002	1	1	0	700
1443	2230111	2000001	1	1	0	20000
1444	2230111	2000003	1	1	0	20000
1494	2230131	1040009	1	1	0	800
1495	2230131	1040021	1	1	0	800
1496	2230131	1040026	1	1	0	800
1500	2230131	1060018	1	1	0	800
1505	2230131	1412002	1	1	0	700
1507	2230131	1452001	1	1	0	500
1509	2230131	2000001	1	1	0	20000
1510	2230131	2000002	1	1	0	20000
1511	2230131	2000003	1	1	0	20000
1552	2300100	0	32	48	0	400000
1554	2300100	1040009	1	1	0	800
1559	2300100	1060009	1	1	0	800
1566	2300100	2000001	1	1	0	20000
1567	2300100	2000003	1	1	0	20000
24146	100122	0	35	52	0	400000
1624	3000002	0	80	120	0	400000
1642	3000005	1322014	1	1	0	700
1644	3000005	1462000	1	1	0	500
1646	3000005	2000002	1	1	0	20000
1647	3000005	2000003	1	1	0	20000
1729	3110100	0	74	144	0	400000
1732	3110100	1051013	1	1	0	700
1747	3110100	2000002	1	1	0	20000
1748	3110100	2000003	1	1	0	20000
1749	3110100	2000004	1	1	0	40000
1764	3110101	0	80	120	0	400000
1766	3110101	1041055	1	1	0	800
1770	3110101	1061051	1	1	0	800
1779	3110101	2000002	1	1	0	20000
1780	3110101	2000003	1	1	0	20000
1955	3210100	0	76	114	0	400000
1958	3210100	1040026	1	1	0	800
1960	3210100	1060019	1	1	0	800
1974	3210100	2000001	1	1	0	20000
1975	3210100	2000002	1	1	0	20000
1976	3210100	2000003	1	1	0	20000
2343	3210800	0	88	132	0	400000
2358	3210800	1302003	1	1	0	700
2363	3210800	2000002	1	1	0	20000
2364	3210800	2000003	1	1	0	20000
2472	3230100	0	60	90	0	400000
2476	3230100	1040021	1	1	0	800
2481	3230100	1060016	1	1	0	800
2493	3230100	2000002	1	1	0	20000
2494	3230100	2000003	1	1	0	20000
2512	3230101	0	56	84	0	400000
2523	3230101	1452000	1	1	0	500
2526	3230101	2000002	1	1	0	20000
2543	3230102	0	92	138	0	400000
2571	3230102	2000002	1	1	0	20000
2572	3230102	2000003	1	1	0	20000
2697	3230300	0	94	144	0	400000
2698	3230300	2000002	1	1	0	20000
2699	3230300	2000003	1	1	0	20000
2965	3230400	0	97	139	0	400000
2967	3230400	1040025	1	1	0	700
2969	3230400	1041033	1	1	0	800
2976	3230400	1062006	1	1	0	800
2982	3230400	1402008	1	1	0	700
2987	3230400	2000002	1	1	0	20000
2988	3230400	2000003	1	1	0	20000
3056	3300000	2000002	1	1	0	20000
3057	3300000	2000003	1	1	0	20000
3079	3300001	2000002	1	1	0	20000
3080	3300001	2000003	1	1	0	20000
3103	3300002	1322014	1	1	0	700
3104	3300002	1462000	1	1	0	500
3105	3300002	2000002	1	1	0	20000
3106	3300002	2000003	1	1	0	20000
3132	3300003	2000002	1	1	0	20000
3133	3300003	2000003	1	1	0	20000
3162	3300004	2000002	1	1	0	20000
3163	3300004	2000003	1	1	0	20000
3432	3400000	0	50	90	0	400000
3443	3400000	2000001	1	1	0	40000
3444	3400000	2000003	1	1	0	40000
3445	3400000	2000004	1	1	0	40000
3446	3400000	2000006	1	1	0	40000
3458	3400001	0	60	90	0	400000
3469	3400001	2000001	1	1	0	40000
3470	3400001	2000003	1	1	0	40000
3471	3400001	2000004	1	1	0	40000
3472	3400001	2000006	1	1	0	40000
3484	3400002	0	70	100	0	400000
3495	3400002	2000001	1	1	0	40000
